username,comment,likes
ayydeln,sekelas ui...,151963
06fizii,ui lagi ui lagi.. UIIAAUUIIIAAAUIIIIAA,108604
mojitowithberry,don't care...,0
zafiraaaaq,our future lawyer btw..,21827
aycaa__6,sekelas top 1 loh,44989
.hm_122,"[Sticker] padahal FH, UI lagi",30587
xsydle,ternyata bener yaa pendidikan tidak menentukan pola pikir manusia..,152900
whoopspiw,"banyak, kebetulan UI doang yg ke up",31634
ayaaaa4_4,fakultas hukum loh :(,45530
xyzaxxkaxz,ahahaha udahlah guys UI gak seindah itu,5722
homecity23,"""ini yg ke publish doang"" wtf 😔",59822
jieee897,[Sticker] kampus itu lagii.,4903
infphuwin03,[Sticker] f-fakultas hukum..?,2820
jeeeremyy._,our future lawyer btw💜💜,7664
urexpectation,"[Sticker] sebagai calon hakim yang amanah dan bertanggung jawab di masa depan, aku marah banget sih",6711
_.syifl0ove,"[Sticker] belajarnya sampe ke UI, fakultas hukum, bisa gitu ya",38
m4tch4loverr_,FH loh☹️🥹,1081
intann.taa15,fakultas hukum loh...,6
alxsnelux,"[Sticker] ui ini, tidak jadi gokil",1204
meowsl_,bahkan jurusan hukum yang harusnya jauh lebih ngerti dan bisa menegakkan hukum malah gini..,734
applecak,Fh ui kasus chat liat dimana ?😭,22169
kevinaprilingkai,"Nih buat lu yg lgi nyari kmpus buat kuliah, KUALITAS MAHASISWA TIDAK DI TENTUKAN OLEH AKREDITASI KAMPUS, so dimanapun lu kuliah ttp lah jadi orang yg berkualitas baik dalam ilmu dan adab !!!",1768
angelaleestell,"[Sticker] Oh, univ ini lagi. Byee",0
saha.sia76,fasilitas hukum loh?,2352
faadiiillll,ui ternyata problematik y,10461
finnx770,"[Sticker] ini yg katanya ""univ top 1""",3413
heeliumz11,[Sticker] f-fakultas hukum?!,30
yanaaaaalov3,"sekelas fh ui....?, miris bgt🥲",57
zeraaaa881,UI? ANJIR..,107
_zncassss,sumpah sekelas UI 😭,33
slsabila.__2,UI..... mana fakultas hukum......,16
n0thingcare_,ui lohh..... univ terkenal jir,733
my_sar032,tidak FANTAST.,130
glngsptrr16,gokil sekelas UI mana fakultas HUKUM lagi 😭,4
carameltih_,KOBISAAA😭😭😭,18
nabilaaja0_,katanya hukum..,226
owhmylord2107,[Sticker] kampus itu lagi....,133
qiiyy.a,malu maluin,77
kittyclip_31,miris bgt,160
zyy_14j,real kampus itu di nilai bagus itu bukan seberapa besar nama kampus nya tapi seberapa niat dan giat kita untuk belajar di kampus itu jdi di mana pun juga ya siswa nya ga beda jauh,228
aquarriuz01,"Akhirnya nemu jg penjelasan kasusnya, drtd sliweran mahasiswa Ui pada live 2 orang disidang",386
ahn.luv,pantesan udh jarang aku Nemu yang minat UI,209
domiin0es,eh diatas lgi live klarif fh ui cuy,43
hoshin4_,[Sticker] top 1 btw,53
revan_7154,[Sticker] t-takuttt,65
immziaa1,kampus itu lg..,46
ansttasyaa,bikin malu,59
alloo3688,sekelas UI dan fakultas hukum? MIRISSSS,24
larasatiiagiss_,universitas ini lagi...,175
ily_cyx0,[Sticker] tidak fantastt,137
naa1waaa_,[Sticker] univ favorit gue...,41
nisdel30,baru melek ih,16
imcimolllllllll,UI LOHH ANJIR,13
azzruy,sakit sih,49
itoshirinnsgf,ui.. fakultas hukum...,11
medinn_11,[Sticker] Fh dan ui,12
alyssagemas,malu maluin ah,54
alyarmdni_,Mna fakultas hukum lagi😩,4
pinklyndy,"That’s why, adab harus lebih tinggi daripada ilmu",127
rifkyapping,ui + fakultas hukum? WTF,85
thisislilyie,sekelas fh ui...,33
vanjesya,[Sticker] oh jdi ini yang live tadi,48
r4ha12,padahal ui top 1 loh,176
tiaratasny_,our future lawyer 😂,27
unika_251,ini yg live tengah malam sampe yg liat 33k itu?,3
allea_cantiknya,"[Sticker] stress, stress",29
blqiisrryn,jujur takut..,37
shirenntsyy_,"fakultas hukum mana ui lgi, jir miris😔💔",74
ohifypototfzztz,[Sticker] TIDAK PANTASSSS,16
ayaachuu,ui loh ya..,20
ytta04400,jam segini lagi live kampusnya,31
rayaa.zhr,fakultas hukum yaa :(,36
xyz_.reh,[Sticker] ui woy ui..,23
hellocello_09,our future lawyer.......🥰,27
agiftasetiaji,"itu masih mahasiswa loh, gimana kalo udah lulus dia??🥲",22
